DATA_ACTION_,IS_REFERENCED,PRODUCT_ELEMENT_ID,PRODUCT_ID,PRODUCT_ELEMENT_CODE,PRODUCT_ELEMENT_NAME,EFFECTIVE_DATE,EXPIRE_DATE,DYNAMIC_FIELDS,BUSINESS_OBJECT_ID,IS_TEMPLATE,IS_GROUP,DESCRIPTION,ELEMENT_TYPE_ID,SYSTEM_CODE,ENGLISH_NAME,EFFECTIVE_FLAG,IS_REQUIRED,AVALABILITY_RULE,INSERT_BY,UPDATE_BY,RECORD_USAGE,DEFINITION_OBJECT_ID,DEFINITION_SUPER_OBJECT_NAME,POLICY_TYPE,INSERT_TIME,UPDATE_TIME,INSURED_CATEGORY,EXTENDS_ID,BUSINESS_CODE,CONTENT,ENGLISH_CONTENT
Unknown,false,360010458,360010458,POLICY,Brazil Portable Electronic insurance,2000-06-03 00:00:00.0,2099-12-31 00:00:00.0,"{""ComputerTemplate"":""PEI""}",1000000201,,,,-10,014900167,,Y,,,17312387,375425830,5,360010614,Policy,,2019-06-03 16:51:05.0,2021-11-18 10:56:48.0,,,,,
Unknown,false,360010459,360010458,PEI,Brazil Portable Electronic insurance,2000-06-03 00:00:00.0,2099-12-31 00:00:00.0,,-508,,,,-8,,,,,,17312387,375425830,5,360010619,EnterprisePropertyPolicyLob,,2019-06-03 16:51:05.0,2021-09-18 15:37:57.0,,,,,
Unknown,false,360010461,360010458,R10062,Mobile Phone,,,,-502,,,,-2,,,Y,,,17312387,375425830,5,360010626,PropertyInsured,,2019-06-03 17:17:51.0,2021-09-18 17:29:20.0,16,360010434,,,
Unknown,false,360010463,360010458,C101112,Theft,,,"{""CoverageLayer"":""1""}",-503,,,,-1,,,Y,,,17312387,17312387,5,360010629,PolicyCoverage,,2019-06-03 17:17:51.0,2019-06-03 17:17:51.0,,360010437,,,
Unknown,false,360010465,360010458,C101113,Accidental Damage caused by water,,,"{""CoverageLayer"":""1""}",-503,,,,-1,,,Y,,,17312387,17312387,5,360010629,PolicyCoverage,,2019-06-03 17:17:51.0,2019-06-03 17:17:51.0,,360010440,,,
Unknown,false,370148037,360010458,F2201715,Premium Payment Condition,,,"{""BranchIdsToString"":""300320362"",""ClauseCategory"":""1"",""ClauseProperty"":""1""}",-504,,,Premium Payment Condition via Credit Card,-3,,,Y,,,17312387,17312387,5,370146662,PolicyForm,,2019-07-31 09:58:55.0,2019-08-01 11:05:20.0,,370148030,,Premium Payment Condition via Credit Card,Premium Payment Condition via Credit Card
Unknown,false,370148058,360010458,L200073,Deductible Voluntary,,,"{""AbsoluteDeductible"":""Y"",""CategoryLevelOne"":""1"",""CategoryLevelTwo"":""5"",""DefaultDisplay"":""Y"",""FieldName"":""Deductible Voluntary"",""LimitDeductibleUnit"":""10"",""Required"":""Y""}",200038735,,,,-11,,Deductible Voluntary,Y,Y,,17312387,17312387,5,370146671,PolicyLimitDeductible,,2019-08-01 11:05:03.0,2020-05-29 09:43:36.0,,370148051,,,
Unknown,false,370655243,360010458,B00029,PEITestSubOne,,,"{""CoverageLayer"":""2""}",351901105,,,,-14,PEITestSubOne,,Y,,,17312387,17312387,5,370655109,PolicyBenefit,,2019-09-30 10:22:45.0,2019-09-30 10:22:45.0,,370655235,,,
Unknown,false,370655248,360010458,B00030,PEITestSubTwo,,,"{""CoverageLayer"":""2""}",351901105,,,,-14,PEITestSubTwo,,Y,,,17312387,17312387,5,370655109,PolicyBenefit,,2019-09-30 10:22:46.0,2019-09-30 10:22:46.0,,370655233,,,
Unknown,false,505198300,360010458,CHERRYCC,CHERRYCC,,,"{""CategoryLevelOne"":""3"",""CategoryLevelTwo"":""25"",""FieldName"":""CherryC"",""LimitDeductibleUnit"":""11""}",351901183,,,,-15,CHERRYCC,CHERRYCC,Y,,,375425830,375425830,5,,PolicyLimitDeductible,,2021-09-18 17:34:31.0,2021-09-18 17:34:31.0,,505198295,,,
